Column,DataType_Match,DataType_df1,DataType_df2,Min_Match,Max_Match,Mean_Match
V288,True,float16,float16,True,False,False
id_03,True,float16,float16,False,False,True
V229,True,float16,float16,False,False,False
V112,True,float16,float16,True,False,False
V85,True,float16,float16,True,False,False
V173,True,float16,float16,True,False,True
V3,True,float16,float16,True,False,False
V304,True,float16,float16,True,False,False
V80,True,float16,float16,True,False,False
V81,True,float16,float16,True,False,False
V150,True,float32,float32,True,False,False
card3_card6_interaction,True,object,object,N/A,N/A,N/A
V45,True,float16,float16,True,False,False
V49,True,float16,float16,True,False,False
V43,True,float16,float16,True,False,False
V84,True,float16,float16,True,False,False
M6,True,object,object,N/A,N/A,N/A
V279,True,float16,float16,True,False,False
V323,True,float16,float16,True,False,False
V158,True,float16,float16,True,False,False
V280,True,float16,float16,True,False,False
V243,True,float16,float16,True,False,False
V44,True,float16,float16,True,False,False
V4,True,float16,float16,True,False,False
V264,True,float32,float32,True,False,False
V107,True,float16,float16,False,True,False
V90,True,float16,float16,True,False,False
C4,True,float32,float32,True,False,False
V36,True,float16,float16,True,False,False
C11,True,float32,float32,True,False,False
id_26,True,float16,float16,True,True,True
id_31,True,object,object,N/A,N/A,N/A
V312,True,float32,float32,True,False,False
V337,True,float32,float32,True,False,False
P_emaildomain_is_AOL,True,float64,float64,True,False,True
V188,True,float16,float16,True,False,False
V244,True,float16,float16,True,False,False
V321,True,float32,float32,True,False,False
card2,True,float16,float16,True,True,False
V221,True,float16,float16,True,False,False
V250,True,float16,float16,True,False,False
V336,True,float32,float32,True,False,False
V56,True,float16,float16,True,True,False
V70,True,float16,float16,True,False,False
V74,True,float16,float16,True,False,False
V187,True,float16,float16,True,False,False
V125,True,float16,float16,True,False,False
V95,True,float16,float16,True,False,False
V186,True,float16,float16,True,False,False
V286,True,float16,float16,True,False,True
V20,True,float16,float16,True,False,False
V261,True,float16,float16,True,False,False
V116,True,float16,float16,True,False,False
id_36,True,object,object,N/A,N/A,N/A
D1,True,float16,float16,True,False,False
V67,True,float16,float16,True,False,False
V72,True,float16,float16,True,True,False
V305,True,float16,float16,True,True,False
V289,True,float16,float16,True,False,False
V208,True,float32,float32,True,False,False
V136,True,float32,float32,True,False,False
V14,True,float16,float16,True,True,False
V137,True,float32,float32,True,False,False
card1_addr1_P_emaildomain_interaction,True,object,object,N/A,N/A,N/A
V238,True,float16,float16,True,False,True
V326,True,float16,float16,True,True,False
V149,True,float16,float16,True,False,True
V308,True,float32,float32,True,False,False
V122,True,float16,float16,True,False,False
V294,True,float16,float16,True,False,False
card1_card2_interaction,True,object,object,N/A,N/A,N/A
V38,True,float16,float16,True,False,False
V211,True,float32,float32,True,False,False
V242,True,float16,float16,True,False,False
V51,True,float16,float16,True,False,False
V7,True,float16,float16,True,False,False
V301,True,float16,float16,True,False,True
V148,True,float16,float16,True,False,True
C6,True,float32,float32,True,False,False
C5,True,float16,float16,True,False,False
V18,True,float16,float16,True,False,False
V277,True,float32,float32,True,False,False
V94,True,float16,float16,True,True,False
M7,True,object,object,N/A,N/A,N/A
V10,True,float16,float16,True,False,False
V266,True,float32,float32,True,False,False
P_emaildomain_is_Google,True,int64,int64,True,True,False
V182,True,float16,float16,True,False,False
V108,True,float16,float16,True,False,False
V23,True,float16,float16,True,False,False
V222,True,float16,float16,True,False,False
id_23,True,object,object,N/A,N/A,N/A
id_10,True,float16,float16,True,True,True
V61,True,float16,float16,True,True,False
V2,True,float16,float16,True,False,False
R_emaildomain_type,True,object,object,N/A,N/A,N/A
V268,True,float32,float32,True,False,False
id_38,True,object,object,N/A,N/A,N/A
R_emaildomain_is_AOL,True,float64,float64,True,False,True
V129,True,float32,float32,True,False,False
V313,True,float32,float32,True,False,False
V96,True,float16,float16,True,False,False
V40,True,float16,float16,True,False,False
card5,True,float16,float16,True,True,False
V21,True,float16,float16,True,True,False
V325,True,float16,float16,True,False,True
TransactionMonth,True,int32,int32,True,False,False
V175,True,float16,float16,True,False,True
V201,True,float16,float16,True,False,False
P_emaildomain_is_Other,True,float64,float64,True,False,True
id_16,True,object,object,N/A,N/A,N/A
V322,True,float16,float16,True,False,False
V114,True,float16,float16,True,False,False
V307,True,float32,float32,True,False,False
R_emaildomain_is_Apple,True,float64,float64,True,False,True
card5_ProductCD_interaction,True,object,object,N/A,N/A,N/A
V329,True,float16,float16,True,False,False
V9,True,float16,float16,True,False,False
V166,True,float32,float32,True,False,False
id_28,True,object,object,N/A,N/A,N/A
id_25,True,float16,float16,True,False,True
V180,True,float16,float16,True,False,False
V204,True,float32,float32,True,False,False
TransactionDT,True,datetime64[ns],datetime64[ns],N/A,N/A,N/A
V102,True,float16,float16,True,False,False
V152,True,float16,float16,True,False,False
V245,True,float16,float16,True,False,False
card4,True,object,object,N/A,N/A,N/A
addr1,True,float16,float16,True,True,False
V205,True,float32,float32,True,False,False
V252,True,float16,float16,True,False,False
V170,True,float16,float16,True,False,False
V327,True,float16,float16,True,False,True
V76,True,float16,float16,True,False,False
V128,True,float32,float32,True,False,False
id_01,True,float16,float16,True,True,False
V165,True,float32,float32,True,False,False
D6,True,float16,float16,False,False,False
V196,True,float16,float16,True,False,False
V69,True,float16,float16,True,False,False
V338,True,float32,float32,True,False,False
V316,True,float32,float32,True,False,False
M2,True,object,object,N/A,N/A,N/A
V192,True,float16,float16,True,False,False
V115,True,float16,float16,True,False,False
V324,True,float16,float16,True,False,False
V123,True,float16,float16,True,False,False
V106,True,float16,float16,True,False,False
V11,True,float16,float16,True,False,False
V330,True,float16,float16,True,False,True
V263,True,float32,float32,True,False,False
V113,True,float16,float16,True,False,False
V214,True,float32,float32,True,False,False
V17,True,float16,float16,True,False,False
ProductCD,True,object,object,N/A,N/A,N/A
V162,True,float32,float32,True,False,False
V54,True,float16,float16,True,False,False
V109,True,float16,float16,True,False,False
V138,True,float16,float16,True,False,True
V213,True,float32,float32,True,False,False
V281,True,float16,float16,True,False,True
V141,True,float16,float16,True,False,True
V127,True,float32,float32,True,False,False
V83,True,float16,float16,True,True,False
V198,True,float16,float16,True,False,False
D5,True,float16,float16,True,False,False
V146,True,float16,float16,True,False,True
V179,True,float16,float16,True,False,False
V24,True,float16,float16,True,False,False
V64,True,float16,float16,True,False,False
V177,True,float16,float16,True,False,False
V253,True,float16,float16,True,False,False
R_emaildomain_is_Comcast,True,float64,float64,True,False,True
D13,True,float16,float16,True,False,False
V331,True,float32,float32,True,False,False
V260,True,float16,float16,True,False,False
V105,True,float16,float16,True,True,False
V207,True,float32,float32,True,False,False
V25,True,float16,float16,True,False,False
D8,True,float32,float32,True,False,False
id_08,True,float16,float16,True,True,True
id_19,True,float16,float16,True,False,False
V339,True,float32,float32,True,False,False
TransactionDay,True,int32,int32,True,True,False
V134,True,float32,float32,True,False,False
D3,True,float16,float16,True,False,False
R_emaildomain,True,object,object,N/A,N/A,N/A
P_emaildomain_is_Apple,True,float64,float64,True,False,True
V295,True,float16,float16,True,False,False
V28,True,float16,float16,True,False,True
C12,True,float32,float32,True,False,False
V53,True,float16,float16,True,True,False
addr1_addr2_interaction,True,object,object,N/A,N/A,N/A
V57,True,float16,float16,True,True,False
card3,True,float16,float16,True,False,False
V228,True,float16,float16,False,False,False
V287,True,float16,float16,True,True,False
V235,True,float16,float16,True,False,True
C9,True,float16,float16,True,False,False
V251,True,float16,float16,True,False,False
id_20,True,float16,float16,True,False,False
V33,True,float16,float16,True,False,False
V219,True,float16,float16,True,False,False
card1_card6_interaction,True,object,object,N/A,N/A,N/A
card5_card6_interaction,True,object,object,N/A,N/A,N/A
V120,True,float16,float16,True,False,False
V318,True,float32,float32,True,False,False
V231,True,float16,float16,True,False,False
V283,True,float16,float16,True,True,False
V195,True,float16,float16,True,False,False
V183,True,float16,float16,True,False,False
V297,True,float16,float16,True,False,True
V154,True,float16,float16,True,False,True
V247,True,float16,float16,True,False,False
uid,True,object,object,N/A,N/A,N/A
D11,True,float16,float16,False,False,False
card1_ProductCD_interaction,True,object,object,N/A,N/A,N/A
V174,True,float16,float16,True,False,True
V140,True,float16,float16,True,False,False
V87,True,float16,float16,True,False,False
id_27,True,object,object,N/A,N/A,N/A
D12,True,float16,float16,False,False,False
V86,True,float16,float16,True,False,False
V8,True,float16,float16,True,False,False
V239,True,float16,float16,True,False,True
V202,True,float32,float32,True,False,False
C14,True,float16,float16,True,False,False
V144,True,float16,float16,True,False,False
V6,True,float16,float16,True,False,False
V212,True,float32,float32,True,False,False
DeviceType,True,object,object,N/A,N/A,N/A
card1_card3_interaction,True,object,object,N/A,N/A,N/A
id_14,True,float16,float16,False,True,False
card1,True,int16,int16,False,False,False
V48,True,float16,float16,True,False,False
V194,True,float16,float16,True,True,False
V284,True,float16,float16,True,False,True
V256,True,float16,float16,True,False,False
addr2,True,float16,float16,True,True,False
V298,True,float16,float16,True,False,False
C13,True,float32,float32,True,False,False
id_07,True,float16,float16,False,False,False
V197,True,float16,float16,True,False,False
V79,True,float16,float16,True,True,False
V161,True,float32,float32,True,False,False
V190,True,float16,float16,True,False,False
V220,True,float16,float16,True,False,True
V50,True,float16,float16,True,False,False
V291,True,float16,float16,True,False,False
V314,True,float32,float32,True,False,False
V310,True,float32,float32,True,False,False
V12,True,float16,float16,True,False,False
V225,True,float16,float16,True,False,True
V275,True,float32,float32,True,False,False
V111,True,float16,float16,True,False,False
R_emaildomain_is_Other,True,float64,float64,True,False,False
R_emaildomain_is_Verizon,True,float64,float64,True,False,True
id_33,True,object,object,N/A,N/A,N/A
V293,True,float16,float16,True,False,False
V209,True,float32,float32,True,False,False
id_05,True,float16,float16,False,True,False
V160,True,float32,float32,True,False,False
V274,True,float32,float32,True,False,False
V60,True,float16,float16,True,False,False
V58,True,float16,float16,True,True,False
V309,True,float32,float32,True,False,False
V92,True,float16,float16,True,False,False
V290,True,float16,float16,True,False,False
V189,True,float16,float16,True,False,False
V30,True,float16,float16,True,False,False
V273,True,float32,float32,True,False,False
V203,True,float32,float32,True,False,False
V130,True,float32,float32,True,False,False
V185,True,float16,float16,True,False,True
P_emaildomain_is_Yahoo,True,float64,float64,True,False,True
V262,True,float16,float16,True,False,False
id_02,True,float32,float32,False,False,False
id_35,True,object,object,N/A,N/A,N/A
V35,True,float16,float16,True,False,False
V206,True,float32,float32,True,False,False
V210,True,float32,float32,True,False,False
V19,True,float16,float16,True,False,False
V47,True,float16,float16,True,False,False
V328,True,float16,float16,True,False,True
V172,True,float16,float16,True,False,True
C7,True,float32,float32,True,False,False
V311,True,float32,float32,True,False,False
D4,True,float16,float16,False,False,False
V143,True,float16,float16,True,False,False
V249,True,float16,float16,True,False,False
V119,True,float16,float16,True,False,False
P_emaildomain,True,object,object,N/A,N/A,N/A
V132,True,float32,float32,True,False,False
id_11,True,float32,float32,True,True,True
V110,True,float16,float16,True,False,False
V164,True,float32,float32,True,False,False
V232,True,float16,float16,True,False,False
V270,True,float32,float32,True,False,False
dist2,True,float32,float32,True,False,False
V236,True,float16,float16,True,False,True
V285,True,float16,float16,True,False,False
V62,True,float16,float16,True,True,False
V41,True,float16,float16,True,True,False
V257,True,float16,float16,True,False,False
V139,True,float16,float16,True,False,False
card1_card5_interaction,True,object,object,N/A,N/A,N/A
V73,True,float16,float16,True,False,False
V66,True,float16,float16,True,False,False
V255,True,float16,float16,True,False,False
composite_card_addr,True,object,object,N/A,N/A,N/A
DeviceInfo,True,object,object,N/A,N/A,N/A
V31,True,float16,float16,True,False,False
V147,True,float16,float16,True,False,True
M9,True,object,object,N/A,N/A,N/A
V100,True,float16,float16,True,False,False
id_06,True,float16,float16,True,True,False
V272,True,float32,float32,True,False,False
V315,True,float32,float32,True,False,False
id_32,True,float16,float16,False,False,False
id_22,True,float16,float16,False,True,True
id_04,True,float16,float16,False,True,True
V254,True,float16,float16,True,False,False
V27,True,float16,float16,True,False,True
V89,True,float16,float16,True,False,True
M3,True,object,object,N/A,N/A,N/A
id_21,True,float16,float16,True,True,True
id_15,True,object,object,N/A,N/A,N/A
V82,True,float16,float16,True,False,False
V126,True,float32,float32,True,False,False
V299,True,float16,float16,True,False,False
card2_ProductCD_interaction,True,object,object,N/A,N/A,N/A
V248,True,float16,float16,True,False,False
id_18,True,float16,float16,False,True,True
V52,True,float16,float16,True,False,False
D10,True,float16,float16,True,False,False
V317,True,float32,float32,True,False,False
V117,True,float16,float16,True,False,False
P_emaildomain_is_Comcast,True,float64,float64,True,False,True
V184,True,float16,float16,True,False,True
V302,True,float16,float16,True,False,False
V155,True,float16,float16,True,False,True
id_17,True,float16,float16,True,False,False
V59,True,float16,float16,True,False,False
V1,True,float16,float16,True,True,False
V226,True,float16,float16,True,False,True
V240,True,float16,float16,False,False,False
V333,True,float32,float32,True,False,False
card2_card3_interaction,True,object,object,N/A,N/A,N/A
V176,True,float16,float16,False,False,False
card2_card5_interaction,True,object,object,N/A,N/A,N/A
V133,True,float32,float32,True,False,False
V199,True,float16,float16,True,False,False
V227,True,float16,float16,True,False,True
V181,True,float16,float16,True,False,True
V269,True,float32,float32,True,False,False
V142,True,float16,float16,True,False,True
id_34,True,object,object,N/A,N/A,N/A
V169,True,float16,float16,True,False,True
V71,True,float16,float16,True,True,False
M8,True,object,object,N/A,N/A,N/A
V88,True,float16,float16,True,True,False
id_29,True,object,object,N/A,N/A,N/A
V320,True,float32,float32,True,False,False
V233,True,float16,float16,True,False,False
V153,True,float16,float16,True,False,True
V217,True,float16,float16,True,False,False
V131,True,float32,float32,True,False,False
V39,True,float16,float16,True,False,False
V42,True,float16,float16,True,True,False
V91,True,float16,float16,True,False,False
V65,True,float16,float16,True,True,False
V75,True,float16,float16,True,False,False
V234,True,float16,float16,True,False,False
P_emaildomain_is_ProtonMail,True,float64,float64,True,False,True
V319,True,float32,float32,True,False,False
V29,True,float16,float16,True,False,False
V15,True,float16,float16,True,False,False
R_emaildomain_is_Google,True,float64,float64,True,False,True
V151,True,float16,float16,True,False,False
TransactionHour,True,int32,int32,True,True,False
card2_card6_interaction,True,object,object,N/A,N/A,N/A
TransactionAmt,True,float32,float32,False,False,False
V303,True,float16,float16,True,False,False
V98,True,float16,float16,True,False,True
id_30,True,object,object,N/A,N/A,N/A
V335,True,float32,float32,True,False,False
V46,True,float16,float16,True,False,False
V68,True,float16,float16,True,False,True
V171,True,float16,float16,True,False,False
P_emaildomain_is_Verizon,True,float64,float64,True,False,True
card3_card5_interaction,True,object,object,N/A,N/A,N/A
D2,True,float16,float16,True,False,False
V215,True,float32,float32,True,False,False
dist1,True,float32,float32,True,False,False
V292,True,float16,float16,True,False,False
V99,True,float16,float16,True,False,False
P_emaildomain_is_Microsoft,True,float64,float64,True,False,True
V101,True,float16,float16,True,False,False
id_24,True,float16,float16,False,True,False
id_37,True,object,object,N/A,N/A,N/A
P_emaildomain_type,True,object,object,N/A,N/A,N/A
D14,True,float16,float16,False,False,False
V13,True,float16,float16,True,True,False
V276,True,float32,float32,True,False,False
V332,True,float32,float32,True,False,False
M5,True,object,object,N/A,N/A,N/A
V103,True,float16,float16,True,False,False
C2,True,float32,float32,True,False,False
V265,True,float32,float32,True,False,False
id_12,True,object,object,N/A,N/A,N/A
V145,True,float16,float16,True,False,False
V97,True,float16,float16,True,False,False
R_emaildomain_is_ProtonMail,True,float64,float64,True,False,True
V178,True,float16,float16,True,False,False
V34,True,float16,float16,True,False,False
C10,True,float32,float32,True,False,False
V77,True,float16,float16,True,False,False
V282,True,float16,float16,True,False,False
M4,True,object,object,N/A,N/A,N/A
V124,True,float16,float16,True,True,False
D7,True,float16,float16,True,False,True
V37,True,float16,float16,True,False,False
V93,True,float16,float16,True,True,False
V32,True,float16,float16,True,False,False
V224,True,float16,float16,True,False,True
V104,True,float16,float16,True,False,True
V218,True,float16,float16,True,False,False
id_13,True,float16,float16,False,False,False
V246,True,float16,float16,True,False,False
V216,True,float32,float32,True,False,False
V223,True,float16,float16,True,False,True
V267,True,float32,float32,True,False,False
V135,True,float32,float32,True,False,False
V163,True,float32,float32,True,False,False
M1,True,object,object,N/A,N/A,N/A
V258,True,float16,float16,True,False,False
V306,True,float32,float32,True,False,False
V157,True,float16,float16,True,False,False
D9,True,float16,float16,True,True,True
D15,True,float16,float16,False,False,False
V121,True,float16,float16,True,False,False
card3_ProductCD_interaction,True,object,object,N/A,N/A,N/A
V168,True,float16,float16,True,False,False
V63,True,float16,float16,True,False,False
TransactionWeekday,True,int32,int32,True,True,False
TransactionYear,True,int32,int32,True,False,False
V237,True,float16,float16,True,False,True
C3,True,float16,float16,True,False,True
V278,True,float32,float32,True,False,False
id_09,True,float16,float16,False,False,True
V5,True,float16,float16,True,False,False
V296,True,float16,float16,True,False,False
V241,True,float16,float16,False,False,False
V55,True,float16,float16,True,False,False
V300,True,float16,float16,True,False,True
V78,True,float16,float16,True,False,False
V16,True,float16,float16,True,False,False
C1,True,float32,float32,True,False,False
R_emaildomain_is_Microsoft,True,float64,float64,True,False,True
V26,True,float16,float16,True,False,False
V271,True,float32,float32,True,False,False
V156,True,float16,float16,True,False,True
V200,True,float16,float16,True,False,False
card6_ProductCD_interaction,True,object,object,N/A,N/A,N/A
V167,True,float16,float16,True,False,False
V118,True,float16,float16,True,True,False
V159,True,float32,float32,True,False,False
V193,True,float16,float16,True,False,False
V259,True,float16,float16,True,False,False
V334,True,float32,float32,True,False,False
R_emaildomain_is_Yahoo,True,float64,float64,True,False,True
C8,True,float32,float32,True,False,False
card6,True,object,object,N/A,N/A,N/A
V230,True,float16,float16,False,False,False
V191,True,float16,float16,True,False,False
V22,True,float16,float16,True,False,False
